Country,Number of refugees,latitude,longitude,Population,NATO
Russia,1275315,61.52401,105.318756,144713000,non-NATO
Germany,1086355,51.165691,10.451526,83370000,NATO
Poland,968390,51.919438,19.145136,39857000,NATO
Czechia,368300,49.817492,15.472962,10494000,NATO
United Kingdom,210800,55.378051,-3.435973,67509000,NATO
Spain,186125,40.463667,-3.74922,47559000,NATO
Italy,167525,41.87194,12.56738,59037000,NATO
Moldova,116615,47.411631,28.369885,3273000,non-NATO
Slovakia,107415,48.669026,19.699024,5643000,NATO
Netherlands,94415,52.132633,5.291266,17564000,NATO
Ireland,93810,53.41291,-8.24389,5023000,non-NATO
Romania,86810,45.943161,24.96676,19659000,NATO
Belgium,73095,50.503887,4.469936,11656000,NATO
France,70570,46.227638,2.213749,64627000,NATO
Austria,68700,47.516231,14.550072,8940000,non-NATO
Switzerland,65800,46.818188,8.227512,8740000,non-NATO
Bulgaria,65765,42.733883,25.48583,6782000,NATO
Finland,61060,61.92411,25.748151,5541000,NATO
Portugal,56995,39.399872,-8.224454,10271000,NATO
Norway,56970,60.472024,8.468946,5434000,NATO
Montenegro,56915,42.708678,19.37439,627000,NATO
Hungary,53375,47.162494,19.503304,9967000,NATO
Estonia,50450,58.595272,25.013607,1326000,NATO
Lithuania,49970,55.169438,23.881275,2750000,NATO
Turkey,43670,38.963745,35.243322,85341000,NATO
Sweden,41055,60.128161,18.643501,10549000,non-NATO
Denmark,39680,56.26392,9.501785,5882000,NATO
Latvia,32470,56.879635,24.603189,1851000,NATO
Belarus,32435,53.709807,27.953389,9535000,non-NATO
Georgia,27000,42.315407,43.356892,3744000,non-NATO
Greece,25050,39.074208,21.824312,10385000,NATO
Croatia,23070,45.1,15.2,4030000,NATO
Cyprus,18225,35.126413,33.429859,1251000,non-NATO
North Macedonia,17315,41.608635,21.745275,2094000,NATO
Slovenia,10140,46.151241,14.995463,2120000,NATO
Luxembourg,6065,49.815273,6.129583,648000,NATO
Serbia,5710,44.016521,21.005859,7221000,non-NATO
Azerbaijan,4610,40.143105,47.576927,10358000,non-NATO
Albania,3800,41.153332,20.168331,2842000,NATO
Iceland,3250,64.963051,-19.020835,373000,NATO
Malta,2235,35.937496,14.375416,533000,non-NATO
Armenia,605,40.069099,45.038189,2780000,non-NATO
Liechtenstein,520,47.166,9.555373,39000,non-NATO
Bosnia and Herz.,190,43.915886,17.679076,3234000,non-NATO
